model,group,AUC-PR,AUC-ROC,CSI,F1
Logistic Regression,Trad.,0.14835447522667297,0.7981310582572746,0.1854702119612583,0.3129057315652222
Random Forest,Trad.,0.15048358817063962,0.8131548259416779,0.18412656428228993,0.31099135824875396
Conv. Autoencoder,CNN,0.3574925599397335,0.9443469137880665,0.2616030695393054,0.41471533457006243
GCN,GNN,0.20795167845559462,0.8372100313046476,0.20354384683747495,0.33824084992386866
GraphSAGE,GNN,0.22937256834544328,0.8571311290487135,0.21158864400918037,0.3492747229934868
GAT (edge-attn),GNN,0.21848725996274787,0.854131091858391,0.2114453927085289,0.34907952761417155
"PI-GNODE (ours, full data)",Ours,0.22131784892343365,0.8956467271785737,0.20589733143206357,0.34148401537227074
"PI-GNODE (ours, 5K subset)",Ours,0.21964732314024288,0.8892479571278373,0.20629636556324418,0.34203264048950405
  + physics edges,Ablation,0.17462901698449462,0.8417635191322083,0.19913708834732194,0.33213398248198167
  - monotonicity,Ablation,0.17972281965641973,0.8248046469353966,0.19180055331353588,0.3218668640155891
